rule_id,risk_level,category,description,law_reference,law_article,suggestion,keywords
R012,high,付款条款,未约定逾期付款的违约金或利息导致无法主张逾期损失,民法典,第五百八十五条,建议约定逾期付款的违约金标准或按LPR的倍数计算逾期利息确保有据可依,逾期付款 违约金 逾期利息 LPR
R013,medium,付款条款,发票条款缺失导致付款方无法取得合规发票,民法典,第五百九十九条,建议明确约定开票义务包括发票类型开票时间及未及时开票的后果,发票条款 开票义务 发票类型
R014,medium,付款条款,付款进度与项目进度未挂钩导致提前付款风险,民法典,第五百一十条,建议将付款进度与项目里程碑或验收节点挂钩按阶段付款降低风险,付款进度 里程碑 阶段付款
R015,medium,付款条款,未约定付款审核期限导致付款无限期拖延,民法典,第五百一十一条,建议约定付款审核的期限如收到发票后X个工作日内完成审核逾期视为认可,付款审核 审核期限 视为认可
R016,low,付款条款,未约定付款币种和汇率导致汇率风险,民法典,第五百一十四条,建议如涉及外币付款明确约定币种汇率确定时点和汇率差异的承担方式,付款币种 汇率风险 外币付款
R017,low,付款条款,退款条件未约定导致已付款项难以追回,民法典,第五百六十六条,建议明确约定退款的条件程序和期限以及退款金额的计算方式,退款条件 退款程序 已付款项
R018,low,付款条款,未约定付款账户信息变更的通知义务,民法典,第五百零九条,建议约定收款账户变更需提前书面通知否则付款至原账户视为已履行付款义务,账户变更 书面通知 付款义务
R019,high,保密条款,保密范围约定过宽导致正常业务交流受限,民法典,第五百零一条,建议明确界定保密信息的范围和排除情形避免保密范围过宽影响正常商业活动,保密范围过宽 保密信息 商业活动
R020,high,保密条款,保密范围约定过窄导致核心商业秘密泄露,民法典,第五百零一条,建议采用概括加列举的方式界定保密信息确保覆盖技术秘密经营秘密和客户信息等,保密范围过窄 商业秘密 技术秘密
R021,medium,保密条款,保密期限约定不合理导致义务过短或过长,民法典,第五百零一条,建议根据信息性质合理约定保密期限核心商业秘密建议约定为永久保密一般信息可约定2-5年,保密期限 永久保密 信息性质
R022,medium,保密条款,未约定保密信息的返还和销毁义务,民法典,第五百零一条,建议约定合同终止后保密信息的返还或销毁方式及确认程序,信息返还 信息销毁 合同终止
R023,medium,保密条款,未约定保密例外情形导致义务过于绝对,民法典,第五百零一条,建议约定保密例外情形如已公开信息合法获取信息法律要求披露等,保密例外 已公开信息 法律要求披露
R024,low,保密条款,未约定违反保密义务的违约金导致救济困难,民法典,第五百八十五条,建议约定违反保密义务的违约金数额或计算方式以及实际损失超过违约金时的补足权利,保密违约金 救济 实际损失
R025,high,知识产权,合作开发成果的知识产权归属约定不明,民法典,第八百五十九条,建议明确约定合作开发成果的知识产权归属方式如共有或一方所有及另一方的使用许可,知识产权归属 合作开发 共有
R026,high,知识产权,未约定职务作品和委托作品的权属,著作权法,第十八条,建议明确约定合同履行过程中产生的职务作品和委托作品的著作权归属,职务作品 委托作品 著作权归属
R027,medium,知识产权,未约定知识产权侵权责任分担,民法典,第一千一百六十八条,建议约定因一方提供的知识产权导致侵权时的责任承担方式包括赔偿和抗辩义务,侵权责任 知识产权侵权 赔偿
R028,medium,知识产权,未约定背景知识产权的保留和许可,民法典,第八百六十七条,建议明确各方带入合同的背景知识产权归原所有方所有并约定相互许可的范围和条件,背景知识产权 许可范围 保留
R029,medium,知识产权,开源代码使用未约定导致传染性许可风险,民法典,第八百六十八条,建议约定软件交付物中如使用开源代码需提前告知并确保不导致核心代码被传染性许可约束,开源代码 传染性许可 GPL
R030,low,知识产权,未约定知识产权登记配合义务,民法典,第八百六十五条,建议约定需要办理知识产权登记时各方的配合义务和费用分担,知识产权登记 配合义务 费用分担
R031,high,担保条款,担保方式约定不明导致担保效力存疑,民法典,第六百八十一条,建议明确约定担保方式为保证抵押质押或定金并符合法定形式要求,担保方式 保证 抵押 质押 定金
R032,high,担保条款,担保范围未约定导致担保责任范围不清,民法典,第六百九十一条,建议明确约定担保范围包括主债权及利息违约金损害赔偿金和实现债权的费用,担保范围 主债权 利息 违约金
R033,medium,担保条款,保证期间约定不明导致保证责任提前消灭,民法典,第六百九十二条,建议明确约定保证期间如未约定则按法定6个月计算避免保证责任意外消灭,保证期间 保证责任 6个月
R034,medium,担保条款,未约定担保物权的登记和交付要求,民法典,第四百零二条,建议约定担保物权需依法办理登记或交付手续以确保担保物权的有效设立,担保物权 登记 交付
R035,low,担保条款,未约定担保人变更和解除条件,民法典,第六百九十五条,建议约定主合同变更时担保人的同意程序以及担保责任解除的条件,担保人变更 主合同变更 担保解除
R036,high,争议解决,管辖约定不明导致诉讼成本增加,民事诉讼法,第三十五条,建议明确约定管辖法院选择与合同有实际联系的法院避免管辖权争议,管辖约定 管辖法院 实际联系
R037,high,争议解决,仲裁条款效力存疑导致仲裁协议无效,仲裁法,第十六条,建议仲裁条款应明确约定仲裁机构名称仲裁地点和仲裁规则避免因约定不明导致仲裁协议无效,仲裁条款 仲裁机构 仲裁协议无效
R038,high,争议解决,同时约定仲裁和诉讼导致争议解决条款无效,最高人民法院司法解释,相关解释,建议仲裁或诉讼只能选择其一不得同时约定否则可能导致争议解决条款无效,仲裁诉讼并存 条款无效 选择其一
R039,medium,争议解决,未约定争议解决的地域导致异地诉讼,民事诉讼法,第三十五条,建议约定在己方所在地法院管辖减少异地诉讼的成本和不便,管辖地域 异地诉讼 己方所在地
R040,medium,争议解决,未约定仲裁费用和律师费的承担,仲裁法,相关条款,建议约定败诉方承担仲裁费用和胜诉方合理的律师费确保维权成本可回收,仲裁费用 律师费 败诉方承担
R041,medium,争议解决,未约定争议解决的前置程序导致直接诉讼,民法典,第五百零九条,建议约定协商或调解作为争议解决的前置程序降低争议解决成本,前置程序 协商 调解
R042,medium,争议解决,未约定诉讼时效和除斥期间,民法典,第一百八十八条,建议提醒注意诉讼时效为3年及特定权利的除斥期间及时行使权利,诉讼时效 除斥期间 3年
R043,low,争议解决,未约定证据保全和财产保全条款,民事诉讼法,第一百零四条,建议约定在紧急情况下可申请证据保全和财产保全的措施和程序,证据保全 财产保全 紧急情况
R044,high,其他,合同生效条件约定不明导致合同效力不确定,民法典,第五百零二条,建议明确约定合同生效条件如签字盖章审批等避免合同效力处于不确定状态,合同生效 签字盖章 审批
R045,high,其他,签署权限未核实导致合同被认定无效,民法典,第一百七十一条,建议核实签署人的授权范围和权限要求提供授权委托书并作为合同附件,签署权限 授权委托书 无权代理
R046,medium,其他,缺少完整协议条款导致口头约定争议,民法典,第五百一十条,建议增加完整协议条款明确书面合同构成双方完整协议取代此前的所有口头或书面约定,完整协议 书面合同 口头约定
R047,medium,其他,未约定合同变更和转让的条件,民法典,第五百四十五条,建议明确约定合同变更需双方书面同意以及合同权利义务转让的条件和程序,合同变更 合同转让 书面同意
R048,medium,其他,未约定通知送达方式和地址,民法典,第五百零九条,建议约定各类通知的送达方式包括邮寄电子邮件等以及送达地址变更的通知义务,通知送达 送达方式 送达地址
R049,low,其他,合同份数和原件保管未约定,民法典,第五百零二条,建议约定合同正本份数各方持有份数以及原件保管责任,合同份数 原件保管 正本
R050,low,其他,未约定可分割性条款导致部分无效影响整体,民法典,第一百五十六条,建议增加可分割性条款约定某一条款无效不影响其他条款的效力,可分割性 部分无效 条款效力
